Coin,Price,Mkt Cap
Bitcoin,46402,871509470553
Ethereum,3187.86,373407323703
Cardano,2.12,68064667124
Binance,425.87,65774827529
Tether,0.999735,64281697402
XRP,1.21,55940241093
Dogecoin,0.326976,42770337116
USD,0.999994,27449193187
Polkadot,26.80,26663122487
Solana,73.40,21032347087
Uniswap,29.65,15361943391
Bitcoin,684.49,12879504429
Chainlink,28.64,12752704441
Litecoin,180.80,12037097766
Binance,1.00,11915416357
Terra,24.26,9950410533
Polygon,1.44,9293951191
Ethereum,70.34,9049022863
Wrapped,46389,9023579034
Stellar,0.377862,8842067687
VeChain,0.131810,8799706402
Internet,62.72,8598252607
Theta,7.90,7895614021
Filecoin,73.57,7129899354
TRON,0.090295733118,6470342650
OKB,22.35,5976312756
Dai,1.00,5732257445
Aave,423.34,5459670112
EOS,5.55,5336583368
FTX,48.54,5157572670
cUSDC,0.022085637235,5022103591
cETH,63.80,5001315812
Monero,272.90,4898241869
PancakeSwap,22.26,4671670807
Shiba,0.000009195105,4623664694
Klaytn,1.84,4582864349
cDAI,0.021541372053,4506002122
Cosmos,16.04,4450817230
The,0.892893,4124372184
NEO,56.86,4008065141
Axie,67.85,3897604210
Crypto.com,0.148841,3763019583
Avalanche,20.06,3468276388
Maker,3673.61,3310827078
Bitcoin,168.46,3169757787
Tezos,3.73,3134945166
Algorand,0.955949,3113938365
IOTA,1.11,3084666158
BitTorrent,0.004631154916,3052175914
Amp,0.059764536679,2877313821
Elrond,147.31,2876674395
LEO,3.01,2849695882
Kusama,316.71,2844077451
Celsius,6.45,2731955954
Lido,3180.44,2622186688
Compound,481.40,2608707258
Huobi,15.46,2559278823
Sushi,13.33,2527228460
THORChain,9.25,2451819632
Waves,24.38,2440301596
Decred,175.86,2325152974
Hedera,0.247489,2300500134
TerraUSD,1.00,2142359192
Dash,204.90,2099173751
Synthetix,12.30,2095826944
Holo,0.011413666840,2027327994
Quant,152.50,1980223739
NEM,0.214313,1925225837
Chiliz,0.357347,1909609278
Theta,0.353025,1871461555
Huobi,46380,1848576328
Zcash,153.64,1762154587
Helium,18.31,1722004449
Near,3.84,1657531137
XDC,0.126878,1552755749
Stacks,1.47,1551623182
Enjin,1.64,1528400587
yearn.finance,40474,1440997088
Qtum,13.41,1388995200
Ravencoin,0.142151,1342772825
Zilliqa,0.108138,1337461057
TrueUSD,0.999062,1291529813
Flow,22.55,1287010140
Bitcoin,67.28,1181504568
Audius,2.95,1178433679
Basic,0.791494,1177878718
Decentraland,0.858948,1140108327
Telcoin,0.019671276198,1120660938
Harmony,0.107053,1117363702
Fantom,0.428080,1087693393
xSUSHI,15.44,1075819980
NEXO,1.89,1060236161
BitClout,100.02,1053701940
Bitcoin,56.54,1049017589
DigiByte,0.068227598682,993907640
Bancor,4.22,974549782
Ontology,1.09,956430782
Siacoin,0.019554677298,949832816
Paxos,1.00,944693545
SafeMoon,0.000001593298,926855278
